LOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Title,Description,Creator,Contributor,Publisher,Type,Identifier,Release Date,Language,Format,Metadata standards,Status,Has Part,Is Part Of,Academic Field,Research activities,Methodology,Downloads,Current Version,Landing Page,Bibliographic References,Research Project,Software reuse,Access point,Documentation,Access Rights,License,RDF Vocabularies and ontologies
Zeri&LODE,Zeri Photo Archive RDF Dataset,The Zeri Photo Archive RDF dataset represents a considerable subset of data already available at Zeri Catalog web site and discoverable through the Europeana Portal; mostly regarding works of Modern Art (15th-16th centuries): about 19.000 works of art and more than 30.000 photographs depicting such works are accurately described by means of like 10 million of RDF triples.,Francesca Tomasi ( https://orcid.org/0000-0002-6631-8607 ) ; Fabio Vitali ; Marilena Daquino ( https://orcid.org/0000-0002-1113-7550 ) ; Francesca Mambelli ; Silvio Peroni ( https://orcid.org/0000-0003-0530-4305 ).,/,Centro Risorse per la Ricerca (CRR-MM),http://purl.org/spar/fabio/DataFile ,DOI 10.6092/unibo/amsacta/5497,2016-05-20,ITA  http://publications.europa.eu/resource/authority/language/ITA  ; ENG http://publications.europa.eu/resource/authority/language/ENG ,RDF http://publications.europa.eu/resource/authority/file-type/RDF_XML ,https://www.w3.org/RDF/  ; https://cidoc-crm.org/ ,Completed https://publications.europa.eu/resource/authority/dataset-status/COMPLETED ,,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SSD-INF-01 ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SSD-L-ART-02  ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SSD-M-STO-08 ,"https://vocabs.dariah.eu/tadirah/cataloging ; https://vocabs.dariah.eu/tadirah/knowledgeDiscovery ; https://vocabs.dariah.eu/tadirah/knowledgeExtraction 
 ",https://vocabs.dariah.eu/tadirah/disseminating ; https://vocabs.dariah.eu/tadirah/linkedOpenData ; https://vocabs.dariah.eu/tadirah/modeling ,https://amsacta.unibo.it/5497/2/dump-complete-13-1-2017.zip,v.1.1,https://w3id.org/zericatalog,https://doi.org/10.1145/3051487,Zeri&LODE - Research Project,,http://data.fondazionezeri.unibo.it/sparql ,https://data.fondazionezeri.unibo.it/ ,"Open Access
http://purl.org/coar/access_right/c_abf2",CC BY-NC 4.0 https://w3id.org/italia/controlled-vocabulary/licences/A21_CCBY40  ; CC BY-NC-ND 4.0 ,http://www.sparontologies.net/ ; https://marilenadaquino.github.io/hico/ ; https://cidoc-crm.org/  
DanteSources,DanteSources RDF Dataset,A dataset about primary sources included in literary works; developed for and used by the DanteSources web application.,Carlo Meghini ; Valentina Bartalesi ; Daniele Metilli ; Mirko Tavoni ; Paola Andriani,/,Dipartimento di Filologia; Letteratura e Linguistica (Università di Pisa) ; Istituto di Scienza e Tecnologie dell’Informazione 'Alessandro Faedo' (CNR)  ,http://purl.org/spar/fabio/Dataset,/,2015-01-01,ITA  http://publications.europa.eu/resource/authority/language/ITA  ; ENG http://publications.europa.eu/resource/authority/language/ENG ,RDF http://publications.europa.eu/resource/authority/file-type/RDF_XML ,https://www.w3.org/RDF/   ; https://cidoc-crm.org/ ,Completed https://publications.europa.eu/resource/authority/dataset-status/COMPLETED ,,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SSD-L-FIL-LET-08 ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SSD-L-FIL-LET-10 ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SSD-M-STO-08 ,https://vocabs.dariah.eu/tadirah/knowledgeDiscovery ; https://vocabs.dariah.eu/tadirah/knowledgeExtraction ; https://vocabs.dariah.eu/tadirah/discovering ,https://vocabs.dariah.eu/tadirah/knowledgeExtraction ; https://vocabs.dariah.eu/tadirah/linkedOpenData ; https://vocabs.dariah.eu/tadirah/modeling ,https://dantesources.dantenetwork.it/sparql,/,https://dantesources.dantenetwork.it/ ,https://doi.org/10.1093/llc/fqv044 ,Per una Enciclopedia Dantesca Digitale,https://virtuoso.openlinksw.com/,https://dantesources.dantenetwork.it/sparql,https://dantesources.dantenetwork.it/en/pubblicazioni.html,"Open Access
http://purl.org/coar/access_right/c_abf2",Unknown https://w3id.org/italia/controlled-vocabulary/licences/C_Unknown ,http://purl.org/spar/  ; https://cidoc-crm.org/   
LiLa,LiLa Knowledge Base,A Linked Data-based Knowledge Base of Linguistic Resources and Natural Language Processing (NLP) tools for Latin. The Knowledge Base consists of different kinds of objects connected via an explicitly-declared vocabulary for knowledge description.,https://orcid.org/0000-0002-9806-7187 ,https://ror.org/03h7r5v07 ; Centro Interdisciplinare di Ricerche per la Computerizzazione dei Segni dell’Espressione (CIRCSE),Centro Interdisciplinare di Ricerche per la Computerizzazione dei Segni dell’Espressione (CIRCSE) ,http://purl.org/spar/fabio/DataFile ,/,2018-01-01,LAT http://publications.europa.eu/resource/authority/language/LAT ; ENG http://publications.europa.eu/resource/authority/language/ENG , http://publications.europa.eu/resource/authority/file-type/OWL ; http://publications.europa.eu/resource/authority/file-type/RDF_TURTLE ,http://www.w3.org/TR/rdf-primer/,Completed https://publications.europa.eu/resource/authority/dataset-status/COMPLETED ,,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SSD-L-FIL-LET-04 ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/SSD-L-LIN-01 ,https://vocabs.dariah.eu/tadirah/disseminating ; https://vocabs.dariah.eu/tadirah/linkedOpenData ; https://vocabs.dariah.eu/tadirah/naturalLanguageProcessing,https://vocabs.dariah.eu/tadirah/knowledgeExtraction ; https://vocabs.dariah.eu/tadirah/modeling ; https://vocabs.dariah.eu/tadirah/naturalLanguageProcessing ,,/,https://lila-erc.eu/data-page/,https://lila-erc.eu/output/,LiLa - Linking Latin,LiLa Text Linker,https://lila-erc.eu/sparql/ ; https://lila-erc.eu/query/ ; https://lila-erc.eu/LiLaLisp/  ,https://lila-erc.eu/data-page/ ,"Open Access
http://purl.org/coar/access_right/c_abf2",CC BY-SA https://w3id.org/italia/controlled-vocabulary/licences/A31_CCBYSA40 ,http://www.w3.org/TR/rdf-primer/
Biflow,Biflow RDF Dataset,Il catalogo propone di censire i testi scritti e tradotti in un arco di tempo ravvicinato e circolanti simultaneamente in Toscana tra il 1260 e il 1430 sia nella lingua originaria che in quella della traduzione. Il catalogo è organizzato in schede che raccolgono i dossiers testuali bilingui i quali racchiudono il testo-fonte e le diverse versioni in cui è stato tradotto. I dossiers sono indicati da un codice identificativo composto da un acronimo derivato dal nome dell’autore e del titolo dell’opera. Per ogni dossier si fornisce un riassunto del contenuto dell’opera; la bibliografia essenziale e una rappresentazione grafica dei rapporti tra le varie versioni.,Antonio Montefusco ( https://orcid.org/0000-0001-9496-6153 ) ;  Tiziana Mancinelli ; Sara Bischetti ; Cristiano Lorenzi,Laura Calvaresi ; Agnese Macchiarelli ; Michele Lodone ; Vera Ribaudo,Venice Centre for Digital and Public Humanities (VeDPH),http://purl.org/spar/fabio/DataFile ,ISSN 2784-9406,2021-05-14,ITA  http://publications.europa.eu/resource/authority/language/ITA ,RDF https://publications.europa.eu/resource/authority/file-type/RDF ,http://www.w3.org/TR/rdf-primer/,Completed https://publications.europa.eu/resource/authority/dataset-status/COMPLETED ,,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-10 ,"https://vocabs.dariah.eu/tadirah/contentAnalysis ; 
https://vocabs.dariah.eu/tadirah/knowledgeExtraction ",,https://catalogobiflow.vedph.it/sparql/,/,https://catalogobiflow.vedph.it/ ,https://catalogobiflow.vedph.it/publications/,https://portal.issn.org/resource/ISSN/2784-9406 ,,https://catalogobiflow.vedph.it/sparql/ ,https://catalogobiflow.vedph.it/about/ ,"Open Access
http://purl.org/coar/access_right/c_abf2",Unknown https://w3id.org/italia/controlled-vocabulary/licences/C_Unknown ,https://www.w3.org/RDF/   ; http://cidoc.ics.forth.gr/  ;http://erlangen-crm.org/efrbroo  
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,